country1	country2	distance
french southern and antarctic lands	federated states of micronesia	6202.321169649849
ecuador	gibraltar	5312.522152643792
bosnia and herzegovina	ethiopia	2782.682288284326
ascension	jersey	4507.929411620775
india	ethiopia	2734.4884469071485
netherlands	aruba	4935.82246204877
barbados	paraguay	2500.5736444259155
swaziland	slovakia	5246.308786835808
faroe islands	gibraltar	1788.6373824397426
montenegro	sweden	1358.8253658882777
united arab emirates	paraguay	8172.7148519241955
saint kitts and nevis	lebanon	6030.131661851059
laos	afghanistan	2624.5035272527552
marshall islands	ethiopia	8714.44206325263
south korea	jersey	5730.051515833354
cayman islands	bassas da india	8597.846618595571
maldives	pitcairn islands	10282.41024491494
republic of the congo	french guiana	4707.6717548637935
comoros	singapore	4190.084713535879
british virgin islands	lebanon	6078.344157157383
mozambique	singapore	4862.413973178506
saint pierre and miquelon	bassas da india	7563.442926565412
gabon	afghanistan	4234.558686478324
estonia	pitcairn islands	9822.019326330801
thailand	pitcairn islands	9129.694057840052
democratic republic of the congo	lithuania	3869.6270906641716
wallis and futuna	jersey	9932.418955288904
morocco	svalbard	3268.222655506038
brunei	slovakia	6219.8859487770505
croatia	afghanistan	2786.3987406433084
comoros	mongolia	5501.122516944916
bhutan	solomon islands	5186.7254771698135
vatican city	pitcairn islands	10011.85858584671
barbados	lebanon	6015.704422503392
colombia	slovakia	6079.280193551951
turkmenistan	federated states of micronesia	6102.026335587759
north korea	lithuania	4430.055852391272
honduras	lebanon	7362.620651098415
swaziland	lithuania	5717.281003382316
mauritius	gibraltar	5661.9426528238455
ashmore and cartier islands	pitcairn islands	6859.084035144074
trinidad and tobago	jersey	4255.179338895305
haiti	french guiana	1670.497797825703
gaza strip	aruba	6589.0358584854885
brunei	pitcairn islands	7926.464227396803
glorioso islands	lithuania	4854.001371497932
macedonia	gibraltar	1513.6545937549229
greece	svalbard	2695.254756856707
nepal	afghanistan	1124.1491825832977
suriname	aruba	1120.3091404918473
faroe islands	aruba	4591.777250697215
vanuatu	turkey	9146.274008744187
palau	svalbard	6146.56550504003
saint vincent and the grenadines	mongolia	8264.995772719934
qatar	aruba	7691.217712638081
honduras	lithuania	6117.786918471299
saint martin	sweden	4733.775598457406
sri lanka	federated states of micronesia	4876.418999551229
new caledonia	sweden	9308.985260250682
kenya	greenland	5898.028178050101
burkina faso	turkey	2880.8625108796564
equatorial guinea	pitcairn islands	9339.729358077877
cote d'ivoire	mongolia	6755.106143667916
san marino	federated states of micronesia	8226.248327544828
cocos (keeling) islands	gibraltar	7380.34815376345
italy	sweden	1327.2513702058725
azerbaijan	turkey	675.2089754133443
cameroon	lebanon	2454.5321389469755
bosnia and herzegovina	aruba	5510.4603296151
ecuador	svalbard	6461.047977333913
nicaragua	gibraltar	5119.518215118933
kosovo	mongolia	3959.1690189789642
falkland islands	french guiana	3869.0368519641133
norway	bassas da india	5991.694914737376
brazil	singapore	10863.263429236113
denmark	lebanon	1962.0635421890556
isle of man	svalbard	1745.3543115303883
turks and caicos islands	greenland	3687.2489572333147
honduras	french guiana	2401.5649546513723
cameroon	pitcairn islands	9606.524760862754
faroe islands	mongolia	4086.0362706659653
haiti	gibraltar	4193.2505120635715
macedonia	turkey	704.6581814095455
mozambique	slovakia	4721.149718072684
montserrat	aruba	596.3721751572092
tokelau	sweden	8758.931268572656
faroe islands	bassas da india	6308.127802256189
ireland	slovakia	1228.5239607976623
maldives	afghanistan	2108.1643165994565
south korea	slovakia	5058.169019113943
