lang	long	lat
"en"	-77.074837	41.80987
"en"	-106.128653	28.662618
"tr"	29.369146	40.81033
"es"	-6.139671	36.698036
"und"	-0.097132	51.503719
"es"	-56.688242	-36.695316
"es"	-3.832552	40.337846
"es"	-58.677631	-34.582324
"en"	-95.234299	29.664301
"in"	102.11634	-1.48737
"th"	100.373155	13.727624
"ar"	39.24874	21.523437
"pt"	-51.876709	-29.249345
"en"	-117.098263	32.757356
"es"	-3.636297	40.409825
"en"	-83.624197	41.533774
"en"	-90.195579	29.96256
"pt"	-8.413794	41.433844
"es"	-3.63668	40.380866
"ar"	31.377718	31.061242
"fr"	2.325706	48.873225
"es"	-99.133019	19.378797
"en"	0.286698	50.815454
"es"	-61.971178	-33.752843
"pt"	-43.14385	-22.459401
"ru"	56.151366	57.998154
"en"	-86.299969	32.366805
"in"	102.225593	5.774335
"tr"	28.373515	37.174721
"tr"	30.514953	39.778155
"en"	-76.905904	39.290945
"fr"	2.268842	48.991986
"es"	-66.076093	18.427525
"en"	2.140942	41.394832
"es"	-60.653815	-32.99425
"en"	-2.325999	43.078903
"es"	-62.278091	-38.713705
"in"	102.277841	2.247859
"tr"	34.689617	36.838214
"en"	-1.219721	54.433698
"es"	-0.185629	39.73435
"es"	-6.103843	36.688546
"pt"	-40.190403	-20.125059
"en"	-46.65556	-23.567361
"en"	-86.016307	30.279868
"tr"	28.916309	41.03425
"en"	-2.085044	53.486186
"und"	-110.962594	29.083976
"es"	-99.029789	19.289688
"es"	-67.567404	-28.063866
"en"	-8.602001	41.108925
"pt"	35.254777	38.210912
"en"	-83.013373	40.001736
"en"	121.090916	14.565358
"tl"	121.087931	14.56377
"es"	-0.749953	41.634884
"pt"	-55.536796	-30.904557
"tr"	28.903454	40.999715
"en"	-121.991313	37.557525
"es"	-61.415677	-32.298567
"ja"	133.804619	34.027179
"in"	103.77081	-3.62864
"tr"	29.033201	40.208618
"en"	-121.30111	38.790732
"en"	-73.976997	40.761489
"en"	-83.065668	42.541174
"und"	-123.27251	44.56883
"pt"	-43.334571	-22.881974
"es"	-62.107764	-32.68154
"es"	-58.696821	-34.657533
"en"	-47.875773	-15.712315
"en"	-97.346964	32.788931
"pt"	-43.058672	-22.825397
"tr"	35.318409	37.034434
"en"	-115.16958	36.10259
"en"	-73.958889	41.459722
"es"	-3.811829	40.174181
"fr"	2.95025	48.388102
"en"	-75.696775	45.419205
"en"	-121.626014	36.592742
"en"	-84.164863	36.736699
"pt"	-52.614359	-23.662473
"tr"	36.329472	41.278246
"en"	-83.252178	30.635489
"pt"	-49.369177	-18.00372
"en"	-88.175867	41.497614
"en"	-83.4773	41.618426
"pt"	-43.306117	-22.86349
"tr"	27.199821	38.455393
"en"	-96.20861	41.194221
"th"	99.892544	20.423821
"pt"	-48.105166	-15.874744
"tr"	41.849777	41.199178
"en"	2.141463	41.384373
"es"	-77.05	-12.1167
"es"	-76.792009	17.992731
"en"	-76.862367	39.209051
"es"	-5.995077	37.391499
"pt"	-9.258225	38.75621
"es"	-56.391934	-34.457098
"en"	-3.777616	56.002447
"nl"	5.89762	51.986116
"en"	-80.526683	43.497029
"es"	-60.564653	-33.11555
"und"	29.093558	37.751507
"en"	-84.774256	43.588043
"pt"	-51.963073	-29.49697
"und"	2.47574	48.613544
"en"	-83.181943	40.014862
"en"	-93.711332	41.577212
"in"	106.88489	-6.651606
"en"	-75.122325	39.736824
"tr"	29.108179	41.040526
"en"	-77.288763	37.22641
"es"	-5.62016	43.159407
"en"	121.200062	14.070347
"in"	27.833447	38.922137
"es"	-58.400415	-34.614468
"es"	-0.6006	38.819199
"en"	-82.664438	27.4215
"en"	-0.019661	51.503024
"en"	-83.048488	42.333127
"pt"	-51.199873	-30.084249
"tl"	28.151907	-26.313597
"es"	-64.225549	-31.373899
"es"	3.068474	36.530904
"es"	-68.343389	-54.830962
"en"	29.179234	41.015023
"in"	112.648264	-7.939851
"es"	-60.714419	-31.61652
"en"	29.007021	41.085218
"en"	71.776228	34.035445
"en"	101.450951	2.982145
"th"	100.475377	7.0208
"und"	140.673519	-2.605489
"in"	101.767819	2.953683
"pt"	-51.125987	-30.046691
"pt"	-42.943862	-21.123898
"in"	94.194292	26.75511
"pt"	-48.873932	-28.432551
"es"	-90.470004	14.663339
"es"	-74.798676	10.931817
"en"	-84.29409	34.075376
"es"	-3.665977	40.409138
"tl"	120.957085	15.523491
"en"	31.218443	30.022932
"pt"	-49.310176	-25.476461
"tr"	37.285775	41.126867
"th"	-1.298219	51.743606
"tr"	49.787572	40.3945
