sentiment	tweet
1	Performance proves is far from finished
1	Defensive show against Sunderland best of the season
1	A day to remember pleased with victory
1	Loan move was the making of me
1	Best form this season has coincided with him starting in the centre of midfield
1	deflects a volley and scores a lucky goal!
1	MUFC are the best
1	In the midst of the love it was who made the save of the day from
1	To be fair   pulled of a cracking save from 's half-volley
1	Incredible save
1	Top class save
1	It was a fantastic performance from us had four clear chances and we played some great football
1	At least the performance wasn't that Midfield looked lively with coming in
1	His performance was fantastic
1	Good Play
1	I'm sure  is quaking in his boots after this  performance
1	He was immense
1	Good news that he's been playing so well
1	Was revealed that he is fit for the game
1	Are set to welcome back the star
1	we have lots of great players
1	he's probably moved himself up the pecking order
1	I thought he was good tonight Got most of his passes right and had plenty of nice little flicks and link ups
1	showed what having a good touch and ball retention brings
1	His flicks and passes were spot on for the most part
1	He is the MOTM in my opinion
1	I thought his debut was exciting
1	Nice flicks and decent all round
1	I thought he was fantastic  his ability to find space was beyond his years
1	I'd like to see him with the big boys around him
1	he was the only one driving the team forward
1	he showed how mature he is on the pitch
1	He is very mature for his age
1	I thought it was a good performance by him
1	I thought he did really well and took hold of the game
1	He looks settled in
1	this will be a valuable learning experience for him
1	We were all over them for the first half
1	He looked good Definitely heading in the right direction
1	looked for the ball and showed confidence
1	We have a great squad
1	we are strong in all other areas
1	I agree he is a top player
1	He has a lot of excellent qualities
1	His crossing of late has been awesome
1	It was vibrant  attacking and a joy to watch
1	We looked threatened at the back at times but at the very least we played like we wanted to win games
1	we have great creativity in the middle
1	he's perfect for us
1	It then wasn?t just a rocket  it was weighted beautifully
1	I think the best one I have seen in person
1	Incredible strike
1	Definitely one of the best long-rangers if not the best
1	What a rocket from him
1	Great determination from him
1	he is in good form
1	he makes driving powerful runs
1	he is World Class
1	he is a joke
1	He is amazing at running at people
1	he looks a bit more natural with the ball
1	Better defender than for sure
1	I am Impressed
1	He did everything right today
1	we are more sound defensively
1	he is a more mature defender
1	Great display overall
1	Those powerful bursts into the heart of their defences are lovely to watch
1	he is more talented than most
1	He is a great talent who needs time and work
1	His shot stopping is getting very good one of the best with his feet already
1	he has been excellent this season
1	this kid has everything required to be one of the best ever
1	I can't think of a keeper who has made fewer errors performed better than him
1	If he was English they'd all be jerking off about his talent
1	He is going to be the best in the world in 2 or 3 years
1	clean sheets
1	Another clean sheet from us
1	Great to get a clean sheet
1	Great reflex save
1	His crossing was quite good I thought
1	His all round game was actually quite good today
1	we are having an amazing season
1	We have had a fantastic start to the season when you look at our stats
1	he thinks he is a better defender
1	he knows he is his best defender
1	He was fantastic
1	Fantastic display tonight
1	epic performance tonight
1	What a great club  and what great managers
1	Brilliant performance
1	He destroyed them
1	Absolutely brilliant
1	I love his work
1	I love this man brilliant
1	Such a legend
1	he is the greatest legend of our era
1	Such class from the youngster
1	He really slaughtered them right off the bat there
1	we are steam-rolling teams at the minute
1	He is such a genius
1	Our defence looked decent
1	Our defense looked decent
1	At least our defence looks solid again
1	I think this might be the perfect situation for us right now
1	Our immensely talented
1	He is a cracking player
1	He'd be our best midfielder and captain
1	He was awesome all the way up
1	Unreal to be fair
1	one of the best strikes of all time
1	That was by far the best goal I've seen this season though absolutely magnificent shot
1	goal of the season
1	their shape was brilliant
1	Stunning is the right word
1	truly great goal
1	Fantastic strike
1	returns to action
1	he is fit for action and has returned
1	he passed his fitness test
1	ready to play
1	brilliant cross and fantastic goal
1	midfield general box to box crisp passing great vision cracking shot
1	Was very impressive today
1	Promising young midfielders
1	I felt that he was awesome though
1	we were completely dominant
1	But he was brilliant in that position
1	He is very good in the transfer market no doubt
1	We were blessed with a good draw
1	He was outstanding
1	Looked bright
1	His touch is excellent
1	I think he has a great future
1	were really very good indeed
1	His flicks were great
1	he is one of our best player
1	Man Of The Match
1	was very encouraging
1	He is a supremely talented player
1	Looks a good player
1	cheer up
1	that was amazingly saved
1	had a fantastic season
1	He was very good
1	He is a fantastic young player
1	years ahead of them
1	He is years ahead of his peers
1	he is well ahead
1	great intelligence
1	high praise
1	Defensively I thought he was excellent  he handled him perfectly
1	Clearly a very special and exciting talent
1	set the world alight
1	has been impressive for them
1	fantastic experience
1	good decision
1	he should become fantastic soon
1	works well for the team
1	IMO it was fantastic
1	he is a top quality player
1	He's undeniably a great player
1	Our best player
1	He's an excellent player a terrific striker
1	a great scorer
1	no doubt he's one of the best in the world
1	He has superb abillity
1	he loves the game
1	a brilliant player
1	Great player whos turned his game around
1	On form one of the top strikers in the world
1	He's a brilliant player  at times the heartbeat of the team
1	Cracking player  one of the best in the world
1	World class player
1	Technically very good quick strong and when on form his drive determination and invention is inspirational
1	He's very good and extremely good on his day
1	The guy who has been possibly the best
1	definitely a very good player
1	the best striker in the world
1	played well the team played well
1	his potential is absolutely immense
1	freaks of nature to be so good so young
1	One of the best players on the planet
1	Skill pace and unpredictability
1	top performers
1	His vision has been fantastic
1	Man of the match
1	World class player
1	best player in the world
1	using that to play excellent football
1	Rooney was fucking great tonight He's a fucking great player
1	It is widely acknowledged that he is a fantastic footballer
1	Best performance
1	He was arguably the best striker in the world last season
1	Brilliant last night scoring one of the goals of the season
1	Outstanding fantastic good vision great technique great performance
1	He is a superb player
1	is the heartbeat
1	is a great striker no doubt
1	he is our best player and he is one of the best players in the world he's just too good
1	is a much better all round striker
1	be the best striker in the world
1	he's on the top 5 most skillful strikers
1	is a better player
1	class act
1	has a brilliant record
1	the best strikers in the world
1	does everything right
1	has the best potential determination is great all around
1	he was brilliant for them
1	I thought he was perfect for the role he was given
1	he was brilliant
1	Oh and had a good game
1	As good as any of the many games on his own up top last season
1	Very close to being back at his best
1	Great first touch
1	that very impressive
1	our best player
1	his crossing is very good
1	He's been starting games and performing brilliantly
1	He has so many good qualities
1	there are not many as good or great as him
1	his crossing has improved
1	Was fantastic against
1	Brilliant from him today
1	He was great today thought he showed great vision
1	Great work from him
1	Thought he was quality today
1	Played very very well
1	He's a damn good versatile player
1	He's been world class for a number of seasons
1	an excellent performance
1	was even better
1	is a fantastic player
1	how good this guy can be
1	I think is world class
1	Glory Glory Man United
1	bounce back from
1	scored his first
1	scored his first goal  helping them to a victory over
1	volley sees past clinched a victory at
1	bounce back from Cup loss
1	scores the winner
1	scored the only goal as
1	scored his first goal
1	Betting: Betfair are backing to score at Villa Park
1	made as many Interceptions as the entire
1	scored in both matches for
1	the defence was awesome
1	the defense was awesome
1	great goal
1	fantastic goal
1	first career goal gets back on track
1	Another win for the team
1	first goal for the club earns resilient all three points in tight game
1	3 important points & scored
1	great victory
1	has scored goals in his last games against Devastating
1	has scored goals in his last games against Devastating
1	He's been good since his last meeting with them
1	that's great news about
1	IMO he has been our best player
1	That's great news
1	awesome this evening composed if not combative  better and  slicker very graceful
1	good news for us
1	he was magnificent for us
1	good to hear that he hasn't suffered a long term injury
1	fantastic news
1	Can't wait to see have him starting again
1	happy to see him back
1	he is not shit he is quite good actually
1	what a great draw for us
1	Happy with England's group
1	Doesn't sound so bad
1	we haven't had any problems yet we have a good team and players
1	great win by the kids
1	he's much better than other kids at his age
1	is always joking with us since the beginning trying to make us relax
1	He played brilliant when he was in CM tonight & when he came back into defence I didn't know  was off
1	Best draw possible
